Event,ExecTime(ms),VectorSize,Device
Total Exec Time,4.16331,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.106181,1024,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.475936,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.205917,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.044724,2048,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.140256,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.248103,4096,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.038646,4096,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.19376,4096,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.343109,8192,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.045165,8192,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.282625,8192,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.402965,16384,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.082477,16384,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.304095,16384,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.518555,32768,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.143038,32768,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.3584,32768,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.829914,65536,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.274346,65536,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.534879,65536,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1.28379,131072,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.529876,131072,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.732384,131072,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.41929,262144,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,1.05527,262144,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,1.34013,262144,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,4.17771,524288,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.08109,524288,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,2.06202,524288,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,8.28054,1048576,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,4.12332,1048576,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,4.13286,1048576,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,16.3148,2097152,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,8.54994,2097152,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,7.73453,2097152,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,33.3431,4194304,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,17.6879,4194304,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,15.6071,4194304,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,67.2391,8388608,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,41.4092,8388608,NVIDIA GeForce RTX 2080 Ti
