Event,ExecTime(ms),VectorSize,Device
Total Exec Time,227.868,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.488951,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.512283,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.005463,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.058624,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1.35878,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.479861,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.666549,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.006088,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.099335,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1.9491,4096,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.207622,4096,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1.16737,4096,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.149505,4096,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.198425,4096,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.25309,8192,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.366125,8192,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2.07872,8192,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.220154,8192,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.390167,8192,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,5.75198,16384,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.424259,16384,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,4.24526,16384,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.138336,16384,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.77005,16384,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,10.5649,32768,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.434849,32768,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,8.19618,32768,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.190903,32768,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,1.53395,32768,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,20.4001,65536,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.456111,65536,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,16.4782,65536,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.287994,65536,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,3.06326,65536,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,38.5122,131072,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.501521,131072,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,31.4044,131072,NVIDIA GeForce RTX 2080 Ti
