Event,ExecTime(ms),VectorSize
Total Exec Time,3.2882,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.86993,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.257376,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.006048,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.0512,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.47316,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.01386,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.259872,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004096,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.051201,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.19693,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.78048,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.256736,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.005312,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.052352,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.48747,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.07378,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.256192,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004128,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.051872,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.14454,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.73065,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.256,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004704,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.051903,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.40742,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.95042,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.260288,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004704,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.051809,1024,NVIDIA GeForce RTX 2080 Ti
