Event,CGSubmissionTime(ms),KernelExecTime(ms),TotalExecTime(ms),VectorSize
Enqueue,0.003256,0.029982,0.223326,128
Queue Add,0.003153,0.005939,0.223326,128
Shutdown,0.003133,0.011202,0.223326,128
Enqueue,0.003276,0.034959,0.116696,256
Queue Add,0.003153,0.005468,0.116696,256
Shutdown,0.003112,0.017285,0.116696,256
Enqueue,0.003276,0.060477,0.151942,512
Queue Add,0.003174,0.005816,0.151942,512
Shutdown,0.003071,0.029143,0.151942,512
Enqueue,0.003113,0.111513,0.229723,1024
Queue Add,0.003235,0.006922,0.229723,1024
Shutdown,0.003338,0.053043,0.229723,1024
Enqueue,0.003092,0.213933,0.380679,2048
Queue Add,0.003133,0.006901,0.380679,2048
Shutdown,0.003256,0.101191,0.380679,2048
Enqueue,0.003072,0.418119,0.683233,4096
Queue Add,0.003173,0.007455,0.683233,4096
Shutdown,0.003071,0.196976,0.683233,4096
Enqueue,0.003093,0.82696,1.28229,8192
Queue Add,0.003112,0.007904,1.28229,8192
Shutdown,0.003092,0.388628,1.28229,8192
Enqueue,0.003112,1.75028,2.62045,16834
Queue Add,0.003073,0.011466,2.62045,16834
Shutdown,0.00313,0.793252,2.62045,16834
Enqueue,0.003151,3.28051,4.89632,32768
Queue Add,0.003133,0.013944,4.89632,32768
Shutdown,0.003134,1.53938,4.89632,32768
Enqueue,0.003126,6.54717,9.70495,65536
Queue Add,0.003071,0.019864,9.70495,65536
Shutdown,0.003089,3.07307,9.70495,65536
Enqueue,0.003215,13.0825,19.3666,131072
Queue Add,0.003176,0.033478,19.3666,131072
Shutdown,0.00312,6.14091,19.3666,131072
Enqueue,0.003149,26.1507,38.5749,262144
Queue Add,0.003149,0.046083,38.5749,262144
Shutdown,0.003093,12.2771,38.5749,262144
Enqueue,0.003286,52.2813,77.0509,524288
Queue Add,0.003315,0.100097,77.0509,524288
Shutdown,0.003227,24.5483,77.0509,524288
Enqueue,0.00371,104.533,153.959,1048576
Queue Add,0.003505,0.189072,153.959,1048576
Shutdown,0.003085,49.091,153.959,1048576
Enqueue,0.003496,209.065,307.757,2097152
Queue Add,0.003769,0.357871,307.757,2097152
Shutdown,0.003203,98.1757,307.757,2097152
Enqueue,0.003593,418.064,615.216,4194304
Queue Add,0.004023,0.631054,615.216,4194304
Shutdown,0.003281,196.344,615.216,4194304
Enqueue,0.004531,836.216,1230.19,8388608
Queue Add,0.002734,1.11797,1230.19,8388608
Shutdown,0.001484,392.675,1230.19,8388608
Enqueue,0.005,1672.46,2460.11,16777216
Queue Add,0.003906,2.10719,2460.11,16777216
Shutdown,0.004062,785.349,2460.11,16777216
Enqueue,0.002812,3344.85,4919.92,33554432
Queue Add,0.007187,4.175,4919.92,33554432
Shutdown,0.0025,1570.69,4919.92,33554432
