Event,CGSubmissionTime(ms),KernelExecTime(ms),TotalExecTime(ms),VectorSize
Simple Add,0.003256,0.018452,0.0840746,128
Simple Add,0.003092,0.009584,0.0283,256
Simple Add,0.003174,0.010875,0.0297949,512
Simple Add,0.003092,0.011571,0.0304884,1024
Simple Add,0.003072,0.012042,0.0308623,2048
Simple Add,0.003092,0.014315,0.032847,4096
Simple Add,0.003235,0.016261,0.0351629,8192
Simple Add,0.003051,0.014151,0.0330512,16384
Simple Add,0.003112,0.01622,0.0350477,32768
Simple Add,0.003113,0.02308,0.0427387,65536
Simple Add,0.003133,0.034713,0.0524496,131072
Simple Add,0.003235,0.048558,0.0690016,262144
Simple Add,0.003112,0.083148,0.103635,524288
Simple Add,0.003114,0.167423,0.187457,1048576
Simple Add,0.003114,0.321146,0.341598,2097152
Simple Add,0.003091,0.548966,0.576646,4194304
Simple Add,0.003113,0.922847,0.974193,8388608
Simple Add,0.003153,1.69668,1.71878,16777216
Simple Add,0.003073,3.27815,3.29967,33554432
