Event,MeanCGSubmissionTime(ms),MeanKernelExecTime(ms),MeanTotalExecTime(ms),VecSize,WorkGroupSize,GPU
Enqueue,0.003447,0.030992,0.215914,1024,32,A100
Queue Add,0.003481,0.006348,0.215914,1024,32,A100
Shutdown,0.003413,0.007475,0.215914,1024,32,A100
Enqueue,0.00372,0.016657,0.0795937,2048,32,A100
Queue Add,0.003379,0.006382,0.0795937,2048,32,A100
Shutdown,0.003447,0.007475,0.0795937,2048,32,A100
Enqueue,0.003276,0.023108,0.0870043,4096,32,A100
Queue Add,0.003311,0.007884,0.0870043,4096,32,A100
Shutdown,0.003276,0.008055,0.0870043,4096,32,A100
Enqueue,0.003379,0.028842,0.0956049,8192,32,A100
Queue Add,0.003276,0.010717,0.0956049,8192,32,A100
Shutdown,0.003208,0.007987,0.0956049,8192,32,A100
Enqueue,0.003242,0.037922,0.109738,16384,32,A100
Queue Add,0.003344,0.012765,0.109738,16384,32,A100
Shutdown,0.003208,0.011366,0.109738,16384,32,A100
Enqueue,0.003515,0.050073,0.132081,32768,32,A100
Queue Add,0.003379,0.017032,0.132081,32768,32,A100
Shutdown,0.003379,0.015428,0.132081,32768,32,A100
Enqueue,0.003515,0.071645,0.168631,65536,32,A100
Queue Add,0.003379,0.024849,0.168631,65536,32,A100
Shutdown,0.003447,0.023005,0.168631,65536,32,A100
Enqueue,0.003242,0.113357,0.241218,131072,32,A100
Queue Add,0.003106,0.041608,0.241218,131072,32,A100
Shutdown,0.003276,0.03799,0.241218,131072,32,A100
Enqueue,0.003755,0.186709,0.390332,262144,32,A100
Queue Add,0.00331,0.085402,0.390332,262144,32,A100
Shutdown,0.003208,0.06813,0.390332,262144,32,A100
Enqueue,0.003719,0.324437,0.665126,524288,32,A100
Queue Add,0.003276,0.165478,0.665126,524288,32,A100
Shutdown,0.003379,0.125576,0.665126,524288,32,A100
Enqueue,0.003412,0.607983,1.19688,1048576,32,A100
Queue Add,0.003344,0.297131,1.19688,1048576,32,A100
Shutdown,0.003243,0.241357,1.19688,1048576,32,A100
Enqueue,0.003548,1.2587,2.35587,2097152,32,A100
Queue Add,0.003446,0.567055,2.35587,2097152,32,A100
