Event,CGSubmissionTime(ms),KernelExecTime(ms),TotalExecTime(ms),VectorSize
Enqueue,0.003074,0.029215,6.18424,10
Queue Add,0.00307,0.00577,6.18424,10
Shutdown,0.003141,0.006006,6.18424,10
Enqueue,0.003072,0.023859,0.0894448,100
Queue Add,0.00314,0.005768,0.0894448,100
Shutdown,0.003105,0.010035,0.0894448,100
Enqueue,0.003107,0.117552,0.225145,1000
Queue Add,0.003105,0.005905,0.225145,1000
Shutdown,0.003139,0.052088,0.225145,1000
Enqueue,0.003551,1.04687,1.5891,10000
Queue Add,0.003242,0.017373,1.5891,10000
Shutdown,0.003208,0.473394,1.5891,10000
Enqueue,0.003218,10.362,15.135,100000
Queue Add,0.003134,0.030041,15.135,100000
Shutdown,0.003138,4.68613,15.135,100000
Enqueue,0.003183,103.263,150.43,1000000
Queue Add,0.003094,0.282722,150.43,1000000
Shutdown,0.003104,46.8149,150.43,1000000
Enqueue,0.003336,1032.56,1502.58,10000000
Queue Add,0.003206,1.81424,1502.58,10000000
Shutdown,0.002897,468.096,1502.58,10000000
Enqueue,0.00039,10326.1,15024.6,100000000
Queue Add,0.002994,16.9947,15024.6,100000000
Shutdown,0.005598,4681.3,15024.6,100000000
