Event,MeanCGSubmissionTime(ms),MeanKernelExecTime(ms),MeanTotalExecTime(ms),VecSize,GPU
Enqueue,0.003791,0.11844,0.233848,1024,A100
Queue Add,0.00403,0.009045,0.233848,1024,A100
Shutdown,0.003893,0.05427,0.233848,1024,A100
Enqueue,0.003584,0.219137,0.380365,2048,A100
Queue Add,0.003755,0.009008,0.380365,2048,A100
Shutdown,0.00389,0.102025,0.380365,2048,A100
Enqueue,0.003547,0.424824,0.679384,4096,A100
Queue Add,0.003347,0.008976,0.679384,4096,A100
Shutdown,0.003416,0.197868,0.679384,4096,A100
Enqueue,0.003308,0.834698,1.28251,8192,A100
Queue Add,0.003309,0.009934,1.28251,8192,A100
Shutdown,0.003379,0.390076,1.28251,8192,A100
Enqueue,0.00409,1.66448,2.51176,16384,A100
Queue Add,0.003992,0.016868,2.51176,16384,A100
Shutdown,0.00389,0.77619,2.51176,16384,A100
Enqueue,0.003696,3.30325,4.92204,32768,A100
Queue Add,0.003411,0.019521,4.92204,32768,A100
Shutdown,0.003375,1.54566,4.92204,32768,A100
Enqueue,0.003619,6.58824,9.7568,65536,A100
Queue Add,0.003763,0.028084,9.7568,65536,A100
Shutdown,0.003619,3.08483,9.7568,65536,A100
Enqueue,0.003601,13.1446,19.4099,131072,A100
Queue Add,0.003633,0.045601,19.4099,131072,A100
Shutdown,0.003511,6.16438,19.4099,131072,A100
Enqueue,0.003422,26.2665,38.7271,262144,A100
Queue Add,0.003601,0.070646,38.7271,262144,A100
Shutdown,0.003556,12.3225,38.7271,262144,A100
Enqueue,0.003654,52.477,77.3193,524288,A100
Queue Add,0.003303,0.145947,77.3193,524288,A100
Shutdown,0.003328,24.6318,77.3193,524288,A100
Enqueue,0.003629,104.996,154.645,1048576,A100
Queue Add,0.003613,0.274983,154.645,1048576,A100
Shutdown,0.004052,49.2935,154.645,1048576,A100
Enqueue,0.003548,210.033,309.181,2097152,A100
Queue Add,0.00358,0.524739,309.181,2097152,A100
Shutdown,0.00345,98.5409,309.181,2097152,A100
Enqueue,0.004036,419.707,617.71,4194304,A100
Queue Add,0.003515,0.869596,617.71,4194304,A100
Shutdown,0.003515,197.042,617.71,4194304,A100
Enqueue,0.003776,839.81,1235.61,8388608,A100
Queue Add,0.003124,1.55378,1235.61,8388608,A100
Shutdown,0.004166,394.151,1235.61,8388608,A100
Enqueue,0.005468,1679.37,2470.54,16777216,A100
Queue Add,0.004947,2.74531,2470.54,16777216,A100
Shutdown,0.004947,788.315,2470.54,16777216,A100
Enqueue,0.005729,3360.19,4943.28,33554432,A100
Queue Add,0.002604,5.39167,4943.28,33554432,A100
Shutdown,0.004166,1577.56,4943.28,33554432,A100
Enqueue,0.001041,6721.68,9887.44,67108864,A100
Queue Add,0.004166,10.1833,9887.44,67108864,A100
Shutdown,0.001041,3155.41,9887.44,67108864,A100
Enqueue,0.001989,13383.3,19686.2,134217728,A100
Queue Add,0.003125,19.4458,19686.2,134217728,A100
Shutdown,0.003385,6282.56,19686.2,134217728,A100
Enqueue,0.001082,26764.5,39366.5,268435456,A100
Queue Add,0.004166,36.4375,39366.5,268435456,A100
Shutdown,0.002083,12565.2,39366.5,268435456,A100
Enqueue,0.008333,53527.5,78729.9,536870912,A100
Queue Add,0.004166,71.3167,78729.9,536870912,A100
Shutdown,0.016666,25130.4,78729.9,536870912,A100
