Event,MeanCGSubmissionTime(ms),MeanKernelExecTime(ms),MeanTotalExecTime(ms),VecSize,WorkGroupSize,GPU
MQ Add,0.002218,0.026051,0.134641,1024,32,GeForce
MQ Add,0.002118,0.013999,0.0260798,2048,32,GeForce
MQ Add,0.002168,0.01626,0.0278464,4096,32,GeForce
MQ Add,0.002217,0.021087,0.0324682,8192,32,GeForce
MQ Add,0.002187,0.027243,0.0389451,16384,32,GeForce
MQ Add,0.0022,0.03623,0.0484117,32768,32,GeForce
MQ Add,0.002095,0.048955,0.0607511,65536,32,GeForce
MQ Add,0.002179,0.080246,0.0918785,131072,32,GeForce
MQ Add,0.002237,0.139888,0.152315,262144,32,GeForce
MQ Add,0.002222,0.232715,0.244784,524288,32,GeForce
MQ Add,0.002242,0.437251,0.450198,1048576,32,GeForce
MQ Add,0.002419,0.850837,0.864193,2097152,32,GeForce
MQ Add,0.0022,1.59861,1.61267,4194304,32,GeForce
MQ Add,0.002011,2.52412,2.53766,8388608,32,GeForce
MQ Add,0.002035,4.73299,4.74684,16777216,32,GeForce
MQ Add,0.00203,9.05632,9.07049,33554432,32,GeForce
MQ Add,0.002083,17.7334,17.7494,67108864,32,GeForce
MQ Add,0.002238,34.9758,34.9931,134217728,32,GeForce
MQ Add,0.002311,70.1712,70.1936,268435456,32,GeForce
MQ Add,0.002343,139.888,139.911,536870912,32,GeForce
MQ Add,0.002137,0.031115,1.66998,1024,64,GeForce
MQ Add,0.002131,0.01912,0.0302882,2048,64,GeForce
MQ Add,0.00214,0.020585,0.0317242,4096,64,GeForce
MQ Add,0.002142,0.028018,0.0392616,8192,64,GeForce
MQ Add,0.002173,0.031578,0.0428206,16384,64,GeForce
MQ Add,0.002104,0.036409,0.048459,32768,64,GeForce
MQ Add,0.002148,0.046622,0.0588575,65536,64,GeForce
MQ Add,0.002115,0.074267,0.0869591,131072,64,GeForce
MQ Add,0.002194,0.132053,0.143615,262144,64,GeForce
MQ Add,0.002311,0.22063,0.232711,524288,64,GeForce
MQ Add,0.002173,0.426765,0.43916,1048576,64,GeForce
MQ Add,0.002219,0.814278,0.827647,2097152,64,GeForce
MQ Add,0.002249,1.58076,1.59564,4194304,64,GeForce
MQ Add,0.001943,2.51057,2.52395,8388608,64,GeForce
MQ Add,0.00205,4.58602,4.59998,16777216,64,GeForce
MQ Add,0.002103,8.81415,8.8286,33554432,64,GeForce
MQ Add,0.002071,17.2538,17.2697,67108864,64,GeForce
MQ Add,0.002229,35.9952,36.014,134217728,64,GeForce
MQ Add,0.002294,68.3803,68.4032,268435456,64,GeForce
MQ Add,0.002246,136.912,136.935,536870912,64,GeForce
MQ Add,0.002185,0.042075,23.2051,1024,128,GeForce
MQ Add,0.002162,0.031237,0.045926,2048,128,GeForce
MQ Add,0.002132,0.032143,0.0460286,4096,128,GeForce
MQ Add,0.002117,0.038684,0.05771,8192,128,GeForce
MQ Add,0.002203,0.041174,0.0590587,16384,128,GeForce
MQ Add,0.002193,0.046276,0.0627286,32768,128,GeForce
MQ Add,0.002178,0.056819,0.0734012,65536,128,GeForce
MQ Add,0.002205,0.087729,0.101691,131072,128,GeForce
MQ Add,0.002126,0.165808,0.179186,262144,128,GeForce
MQ Add,0.002172,0.282863,0.294906,524288,128,GeForce
MQ Add,0.002213,0.538323,0.551946,1048576,128,GeForce
MQ Add,0.00228,1.03631,1.0531,2097152,128,GeForce
MQ Add,0.002162,1.90492,1.91907,4194304,128,GeForce
MQ Add,0.001999,3.04081,3.05443,8388608,128,GeForce
MQ Add,0.00205,5.68063,5.6945,16777216,128,GeForce
MQ Add,0.002006,10.8785,10.8942,33554432,128,GeForce
MQ Add,0.001871,21.8603,21.8751,67108864,128,GeForce
MQ Add,0.002213,42.6942,42.7124,134217728,128,GeForce
MQ Add,0.00205,85.5298,85.5498,268435456,128,GeForce
MQ Add,0.002148,172.657,172.684,536870912,128,GeForce
MQ Add,0.002227,0.064133,1.67136,1024,256,GeForce
MQ Add,0.002125,0.053281,0.065172,2048,256,GeForce
MQ Add,0.002174,0.054519,0.0661428,4096,256,GeForce
MQ Add,0.002157,0.058105,0.0699477,8192,256,GeForce
MQ Add,0.002131,0.063359,0.0751071,16384,256,GeForce
MQ Add,0.002164,0.067792,0.0796494,32768,256,GeForce
MQ Add,0.002141,0.074722,0.0866898,65536,256,GeForce
MQ Add,0.002166,0.134626,0.146495,131072,256,GeForce
MQ Add,0.002127,0.249951,0.261711,262144,256,GeForce
MQ Add,0.002262,0.448614,0.461364,524288,256,GeForce
MQ Add,0.002138,0.874788,0.887579,1048576,256,GeForce
MQ Add,0.002293,1.67802,1.69181,2097152,256,GeForce
MQ Add,0.001982,2.65571,2.66994,4194304,256,GeForce
MQ Add,0.002066,4.74175,4.76196,8388608,256,GeForce
MQ Add,0.001953,9.43342,9.44797,16777216,256,GeForce
MQ Add,0.002111,18.3803,18.3955,33554432,256,GeForce
MQ Add,0.00218,36.0783,36.0959,67108864,256,GeForce
MQ Add,0.00218,72.0153,72.0349,134217728,256,GeForce
MQ Add,0.002408,143.454,143.48,268435456,256,GeForce
MQ Add,0.002278,286.456,286.485,536870912,256,GeForce
MQ Add,0.002183,0.09842,1.71846,1024,512,GeForce
MQ Add,0.002167,0.094778,0.10618,2048,512,GeForce
MQ Add,0.00218,0.094532,0.105982,4096,512,GeForce
MQ Add,0.002181,0.096535,0.108515,8192,512,GeForce
MQ Add,0.002138,0.098527,0.110045,16384,512,GeForce
MQ Add,0.002196,0.103385,0.114911,32768,512,GeForce
MQ Add,0.002207,0.106828,0.118355,65536,512,GeForce
MQ Add,0.002148,0.202985,0.214992,131072,512,GeForce
MQ Add,0.002214,0.388175,0.400171,262144,512,GeForce
MQ Add,0.002187,0.737007,0.74993,524288,512,GeForce
MQ Add,0.002235,1.45718,1.47117,1048576,512,GeForce
MQ Add,0.002316,2.81954,2.83361,2097152,512,GeForce
MQ Add,0.001964,4.18058,4.19496,4194304,512,GeForce
MQ Add,0.001975,8.29098,8.30574,8388608,512,GeForce
MQ Add,0.002046,16.5186,16.5354,16777216,512,GeForce
MQ Add,0.002201,32.5781,32.6047,33554432,512,GeForce
MQ Add,0.001879,66.1374,66.1535,67108864,512,GeForce
MQ Add,0.00218,130.98,131.004,134217728,512,GeForce
MQ Add,0.002278,260.061,260.086,268435456,512,GeForce
MQ Add,0.002213,520.882,520.912,536870912,512,GeForce
MQ Add,0.002155,0.188406,1.80695,1024,1024,GeForce
MQ Add,0.002136,0.177148,0.188863,2048,1024,GeForce
MQ Add,0.002269,0.187688,0.199682,4096,1024,GeForce
MQ Add,0.002092,0.189682,0.20244,8192,1024,GeForce
MQ Add,0.002184,0.190107,0.202057,16384,1024,GeForce
MQ Add,0.002168,0.192753,0.204659,32768,1024,GeForce
MQ Add,0.002181,0.202107,0.214042,65536,1024,GeForce
MQ Add,0.002132,0.387588,0.3996,131072,1024,GeForce
MQ Add,0.002111,0.70058,0.712929,262144,1024,GeForce
MQ Add,0.002142,1.39249,1.40571,524288,1024,GeForce
MQ Add,0.0022,2.67891,2.69281,1048576,1024,GeForce
MQ Add,0.002135,3.93314,3.94792,2097152,1024,GeForce
MQ Add,0.001881,7.97142,7.98636,4194304,1024,GeForce
MQ Add,0.001971,15.3984,15.4146,8388608,1024,GeForce
MQ Add,0.002058,30.5906,30.6096,16777216,1024,GeForce
MQ Add,0.002001,61.3051,61.3221,33554432,1024,GeForce
MQ Add,0.002148,122.972,122.995,67108864,1024,GeForce
MQ Add,0.002083,244.982,245.007,134217728,1024,GeForce
MQ Add,0.002278,493.035,493.06,268435456,1024,GeForce
MQ Add,0.002994,990.497,990.534,536870912,1024,GeForce
MQ Add,0.003071,0.034338,2.40908,1024,32,A100
MQ Add,0.003413,0.020206,0.0365034,2048,32,A100
MQ Add,0.00314,0.022118,0.0370663,4096,32,A100
MQ Add,0.003173,0.034748,0.0500074,8192,32,A100
MQ Add,0.003105,0.046728,0.0626434,16384,32,A100
MQ Add,0.003174,0.062703,0.0788069,32768,32,A100
MQ Add,0.003174,0.091408,0.107661,65536,32,A100
MQ Add,0.003107,0.151858,0.16732,131072,32,A100
MQ Add,0.003379,0.2674,0.283469,262144,32,A100
MQ Add,0.003105,0.506028,0.524957,524288,32,A100
MQ Add,0.003108,0.984163,1.00193,1048576,32,A100
MQ Add,0.003277,1.80043,1.81898,2097152,32,A100
MQ Add,0.00307,3.51242,3.53193,4194304,32,A100
MQ Add,0.003104,6.99877,7.01987,8388608,32,A100
MQ Add,0.003068,14.2302,14.2512,16777216,32,A100
MQ Add,0.003165,27.6757,27.6998,33554432,32,A100
MQ Add,0.003247,55.053,55.0788,67108864,32,A100
MQ Add,0.00319,109.314,109.345,134217728,32,A100
MQ Add,0.003027,220.229,220.262,268435456,32,A100
MQ Add,0.003385,439.876,439.915,536870912,32,A100
MQ Add,0.003071,0.038024,1.62703,1024,64,A100
MQ Add,0.003139,0.024336,0.040015,2048,64,A100
MQ Add,0.003174,0.027682,0.0430109,4096,64,A100
MQ Add,0.00314,0.03543,0.051382,8192,64,A100
MQ Add,0.003105,0.044236,0.0598563,16384,64,A100
MQ Add,0.00314,0.065126,0.0805358,32768,64,A100
MQ Add,0.003105,0.09274,0.108161,65536,64,A100
MQ Add,0.003174,0.154453,0.170211,131072,64,A100
MQ Add,0.003241,0.27426,0.290356,262144,64,A100
MQ Add,0.003139,0.501008,0.517668,524288,64,A100
MQ Add,0.003105,0.975599,0.993359,1048576,64,A100
MQ Add,0.003242,1.8218,1.84148,2097152,64,A100
MQ Add,0.003136,3.47381,3.495,4194304,64,A100
MQ Add,0.003143,6.85561,6.87701,8388608,64,A100
MQ Add,0.003102,13.8067,13.8281,16777216,64,A100
