Event,CGSubmissionTime(ms),KernelExecTime(ms),TotalExecTime(ms),VectorSize
Enqueue,0.003822,0.114277,6.69699,10
Queue Add,0.003344,0.005563,6.69699,10
Shutdown,0.003139,0.005769,6.69699,10
Enqueue,0.003821,0.089838,0.283645,100
Queue Add,0.00331,0.005699,0.283645,100
Shutdown,0.003172,0.010069,0.283645,100
Enqueue,0.003857,0.190634,0.423579,1000
Queue Add,0.003207,0.005906,0.423579,1000
Shutdown,0.003209,0.052121,0.423579,1000
Enqueue,0.003992,1.15978,2.21455,10000
Queue Add,0.003412,0.29679,2.21455,10000
Shutdown,0.003174,0.473497,2.21455,10000
Enqueue,0.003925,11.4276,18.151,100000
Queue Add,0.003236,0.624102,18.151,100000
Shutdown,0.003114,4.68687,18.151,100000
Enqueue,0.004288,105.469,167.434,1000000
Queue Add,0.003291,6.12239,167.434,1000000
Shutdown,0.003271,46.8207,167.434,1000000
Enqueue,0.003759,1051.71,1637.38,10000000
Queue Add,0.003255,32.1308,1637.38,10000000
Shutdown,0.00345,468.143,1637.38,10000000
Enqueue,0.003776,10506.6,16237.4,100000000
Queue Add,0.004166,265.213,16237.4,100000000
Shutdown,0.003125,4681.13,16237.4,100000000
Enqueue,0.004166,105037,164394,1000000000
Queue Add,0.002083,5323.58,164394,1000000000
Shutdown,0,46819.8,164394,1000000000
