Event,ExecTime(ms),VectorSize,WorkGroupSize,Device
Total Exec Time,2.79024,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.72403,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.009921,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.89624,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.75062,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.012897,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.5069,2048,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.44049,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.009951,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.73338,2048,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.66739,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010081,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.92314,4096,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.85699,4096,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.009921,4096,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.67601,4096,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.61009,4096,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.009024,4096,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.00715,8192,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.94032,8192,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.009152,8192,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.87139,8192,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.80499,8192,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.009984,8192,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.08178,16384,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.97032,16384,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.012417,16384,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.87467,16384,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.80591,16384,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010657,16384,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.55732,32768,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.48685,32768,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.013409,32768,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.19438,32768,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.04507,32768,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.018305,32768,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.90921,65536,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.82985,65536,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.022529,65536,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.01262,65536,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.93529,65536,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.02176,65536,32,NVIDIA GeForce RTX 2080 Ti
