Event,ExecTime(ms),VectorSize,WorkGroupSize
Total Exec Time,2.48086,1024,1024
Memory Setup Time,2.25803,1024,1024
Kernel Exec Time,0.171007,1024,1024
Total Exec Time,2.82163,1024,1024
Memory Setup Time,2.59495,1024,1024
Kernel Exec Time,0.169984,1024,1024
Total Exec Time,2.34068,1024,1024
Memory Setup Time,2.11968,1024,1024
Kernel Exec Time,0.169984,1024,1024
Total Exec Time,2.43861,1024,1024
Memory Setup Time,2.21395,1024,1024
Kernel Exec Time,0.171009,1024,1024
Total Exec Time,2.35147,1024,1024
Memory Setup Time,2.12857,1024,1024
Kernel Exec Time,0.169985,1024,1024
Total Exec Time,2.59534,1024,1024
Memory Setup Time,2.37203,1024,1024
Kernel Exec Time,0.171007,1024,1024
Total Exec Time,2.15474,1024,1024
Memory Setup Time,1.9263,1024,1024
Kernel Exec Time,0.169985,1024,1024
Total Exec Time,2.56094,1024,1024
Memory Setup Time,2.33791,1024,1024
Kernel Exec Time,0.169983,1024,1024
Total Exec Time,2.31064,1024,1024
Memory Setup Time,2.08705,1024,1024
Kernel Exec Time,0.169985,1024,1024
Total Exec Time,2.12863,1024,1024
Memory Setup Time,1.87998,1024,1024
Kernel Exec Time,0.169985,1024,1024
Total Exec Time,3.17815,1024,1024
Memory Setup Time,2.94912,1024,1024
Kernel Exec Time,0.169985,1024,1024
Total Exec Time,3.35749,1024,1024
Memory Setup Time,3.13334,1024,1024
Kernel Exec Time,0.169985,1024,1024
Total Exec Time,2.15482,1024,1024
Memory Setup Time,1.93065,1024,1024
Kernel Exec Time,0.169985,1024,1024
Total Exec Time,7.3172,1024,1024
Memory Setup Time,7.0933,1024,1024
Kernel Exec Time,0.169985,1024,1024
Total Exec Time,2.3308,1024,1024
Memory Setup Time,2.1069,1024,1024
Kernel Exec Time,0.169983,1024,1024
Total Exec Time,2.91517,1024,1024
Memory Setup Time,2.69176,1024,1024
Kernel Exec Time,0.169983,1024,1024
Total Exec Time,2.65866,1024,1024
Memory Setup Time,2.43561,1024,1024
Kernel Exec Time,0.169985,1024,1024
Total Exec Time,5.42711,1024,1024
Memory Setup Time,5.20412,1024,1024
Kernel Exec Time,0.169983,1024,1024
Total Exec Time,2.28591,1024,1024
Memory Setup Time,2.06446,1024,1024
Kernel Exec Time,0.169985,1024,1024
Total Exec Time,2.81739,1024,1024
Memory Setup Time,2.59465,1024,1024
Kernel Exec Time,0.169984,1024,1024
Total Exec Time,2.28986,1024,1024
Memory Setup Time,2.06546,1024,1024
Kernel Exec Time,0.171007,1024,1024
Total Exec Time,2.47514,1024,1024
Memory Setup Time,2.25477,1024,1024
Kernel Exec Time,0.169983,1024,1024
Total Exec Time,3.41816,1024,1024
Memory Setup Time,3.19592,1024,1024
Kernel Exec Time,0.169983,1024,1024
Total Exec Time,2.60141,1024,1024
Memory Setup Time,2.37848,1024,1024
Kernel Exec Time,0.169983,1024,1024
Total Exec Time,2.2267,1024,1024
Memory Setup Time,2.0053,1024,1024
Kernel Exec Time,0.169983,1024,1024
Total Exec Time,2.84725,1024,1024
Memory Setup Time,2.62299,1024,1024
Kernel Exec Time,0.169985,1024,1024
Total Exec Time,2.53501,1024,1024
Memory Setup Time,2.31154,1024,1024
Kernel Exec Time,0.169983,1024,1024
Total Exec Time,2.50389,1024,1024
Memory Setup Time,2.28014,1024,1024
Kernel Exec Time,0.169984,1024,1024
Total Exec Time,2.39901,1024,1024
Memory Setup Time,2.17576,1024,1024
Kernel Exec Time,0.169983,1024,1024
Total Exec Time,2.79808,1024,1024
Memory Setup Time,2.57082,1024,1024
Kernel Exec Time,0.169983,1024,1024
Total Exec Time,2.81565,2048,1024
Memory Setup Time,2.59245,2048,1024
Kernel Exec Time,0.169985,2048,1024
Total Exec Time,2.62355,2048,1024
Memory Setup Time,2.40021,2048,1024
Kernel Exec Time,0.169985,2048,1024
Total Exec Time,3.20146,2048,1024
Memory Setup Time,2.97857,2048,1024
Kernel Exec Time,0.169983,2048,1024
Total Exec Time,3.51317,2048,1024
Memory Setup Time,3.29208,2048,1024
Kernel Exec Time,0.169983,2048,1024
Total Exec Time,3.22115,2048,1024
Memory Setup Time,2.99667,2048,1024
Kernel Exec Time,0.169984,2048,1024
Total Exec Time,4.93062,2048,1024
Memory Setup Time,4.70782,2048,1024
Kernel Exec Time,0.169985,2048,1024
Total Exec Time,3.20686,2048,1024
Memory Setup Time,2.98557,2048,1024
Kernel Exec Time,0.169985,2048,1024
Total Exec Time,2.55721,2048,1024
Memory Setup Time,2.33481,2048,1024
Kernel Exec Time,0.169983,2048,1024
Total Exec Time,3.61744,2048,1024
Memory Setup Time,3.39468,2048,1024
Kernel Exec Time,0.169984,2048,1024
Total Exec Time,2.55252,2048,1024
Memory Setup Time,2.32901,2048,1024
Kernel Exec Time,0.169985,2048,1024
