Event,ExecTime(ms),VectorSize,WorkGroupSize
Total Exec Time,2.79024,1024,32
Memory Setup Time,2.72403,1024,32
Kernel Exec Time,0.009921,1024,32
Total Exec Time,2.89624,1024,32
Memory Setup Time,2.75062,1024,32
Kernel Exec Time,0.012897,1024,32
Total Exec Time,2.5069,2048,32
Memory Setup Time,2.44049,2048,32
Kernel Exec Time,0.009951,2048,32
Total Exec Time,2.73338,2048,32
Memory Setup Time,2.66739,2048,32
Kernel Exec Time,0.010081,2048,32
Total Exec Time,2.92314,4096,32
Memory Setup Time,2.85699,4096,32
Kernel Exec Time,0.009921,4096,32
Total Exec Time,2.67601,4096,32
Memory Setup Time,2.61009,4096,32
Kernel Exec Time,0.009024,4096,32
Total Exec Time,3.00715,8192,32
Memory Setup Time,2.94032,8192,32
Kernel Exec Time,0.009152,8192,32
Total Exec Time,2.87139,8192,32
Memory Setup Time,2.80499,8192,32
Kernel Exec Time,0.009984,8192,32
Total Exec Time,3.08178,16384,32
Memory Setup Time,2.97032,16384,32
Kernel Exec Time,0.012417,16384,32
Total Exec Time,2.87467,16384,32
Memory Setup Time,2.80591,16384,32
Kernel Exec Time,0.010657,16384,32
Total Exec Time,2.55732,32768,32
Memory Setup Time,2.48685,32768,32
Kernel Exec Time,0.013409,32768,32
Total Exec Time,3.19438,32768,32
Memory Setup Time,3.04507,32768,32
Kernel Exec Time,0.018305,32768,32
Total Exec Time,2.90921,65536,32
Memory Setup Time,2.82985,65536,32
Kernel Exec Time,0.022529,65536,32
Total Exec Time,3.01262,65536,32
Memory Setup Time,2.93529,65536,32
Kernel Exec Time,0.02176,65536,32
Total Exec Time,3.23919,131072,32
Memory Setup Time,3.09916,131072,32
Kernel Exec Time,0.040449,131072,32
Total Exec Time,3.07019,131072,32
Memory Setup Time,2.97515,131072,32
Kernel Exec Time,0.038529,131072,32
Total Exec Time,3.75226,262144,32
Memory Setup Time,3.55642,262144,32
Kernel Exec Time,0.072673,262144,32
Total Exec Time,3.31129,262144,32
Memory Setup Time,3.18495,262144,32
Kernel Exec Time,0.069984,262144,32
Total Exec Time,3.34913,524288,32
Memory Setup Time,3.15903,524288,32
Kernel Exec Time,0.132095,524288,32
Total Exec Time,3.65618,524288,32
Memory Setup Time,3.46733,524288,32
Kernel Exec Time,0.131968,524288,32
Total Exec Time,3.65795,1048576,32
Memory Setup Time,3.34548,1048576,32
Kernel Exec Time,0.255937,1048576,32
Total Exec Time,3.85344,1048576,32
Memory Setup Time,3.53964,1048576,32
Kernel Exec Time,0.256,1048576,32
Total Exec Time,4.60288,2097152,32
Memory Setup Time,4.04796,2097152,32
Kernel Exec Time,0.49904,2097152,32
Total Exec Time,4.35725,2097152,32
Memory Setup Time,3.80167,2097152,32
Kernel Exec Time,0.499712,2097152,32
Total Exec Time,5.04578,4194304,32
Memory Setup Time,3.99462,4194304,32
Kernel Exec Time,0.986784,4194304,32
Total Exec Time,5.29544,4194304,32
Memory Setup Time,4.25274,4194304,32
Kernel Exec Time,0.985633,4194304,32
Total Exec Time,7.28215,8388608,32
Memory Setup Time,5.26248,8388608,32
Kernel Exec Time,1.96199,8388608,32
Total Exec Time,7.09911,8388608,32
Memory Setup Time,5.07171,8388608,32
Kernel Exec Time,1.97018,8388608,32
Total Exec Time,10.9886,16777216,32
Memory Setup Time,7.00054,16777216,32
Kernel Exec Time,3.92493,16777216,32
Total Exec Time,11.1323,16777216,32
Memory Setup Time,7.1428,16777216,32
Kernel Exec Time,3.92634,16777216,32
Total Exec Time,18.8986,33554432,32
Memory Setup Time,10.9935,33554432,32
Kernel Exec Time,7.84179,33554432,32
Total Exec Time,18.8485,33554432,32
Memory Setup Time,10.9291,33554432,32
Kernel Exec Time,7.84589,33554432,32
Total Exec Time,34.2535,67108864,32
Memory Setup Time,18.5272,67108864,32
Kernel Exec Time,15.6637,67108864,32
Total Exec Time,34.1276,67108864,32
Memory Setup Time,18.397,67108864,32
Kernel Exec Time,15.6613,67108864,32
Total Exec Time,58.072,134217728,32
Memory Setup Time,29.9578,134217728,32
Kernel Exec Time,28.0531,134217728,32
Total Exec Time,47.874,134217728,32
Memory Setup Time,25.1679,134217728,32
Kernel Exec Time,22.6446,134217728,32
Total Exec Time,93.187,268435456,32
Memory Setup Time,47.2039,268435456,32
Kernel Exec Time,45.9201,268435456,32
Total Exec Time,92.4456,268435456,32
Memory Setup Time,46.7488,268435456,32
Kernel Exec Time,45.6297,268435456,32
Total Exec Time,183.58,536870912,32
Memory Setup Time,90.6646,536870912,32
Kernel Exec Time,92.84,536870912,32
Total Exec Time,183.235,536870912,32
Memory Setup Time,90.5549,536870912,32
