Event,ExecTime(ms),VectorSize,WorkGroupSize,Device
Total Exec Time,4.70728,1024,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.102776,1024,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.593984,1024,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.005632,1024,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.051776,1024,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.356547,2048,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.057524,2048,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.200641,2048,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.005153,2048,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.051231,2048,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.399565,4096,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.05585,4096,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.203904,4096,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.030721,4096,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.055296,4096,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.513108,8192,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.085535,8192,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.223233,8192,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.089279,8192,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.054815,8192,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.730414,16384,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.173184,16384,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.270335,16384,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.173728,16384,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.055296,16384,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.922497,32768,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.24349,32768,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.351488,32768,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.205568,32768,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.055808,32768,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1.43251,65536,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.518326,65536,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.457375,65536,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.325632,65536,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.055904,65536,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.43742,131072,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.95794,131072,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.882561,131072,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.421887,131072,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.106207,131072,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.55875,262144,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,1.28317,262144,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.9888,262144,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,1.01651,262144,1024,NVIDIA GeForce RTX 2080 Ti
