Event,ExecTime(ms),VectorSize,WorkGroupSize
Total Exec Time,98.7522,1024,32
Memory Setup Time,0.485007,1024,32
Enqueue Exec Time,0.275459,1024,32
Add Kernel Exec Time,0.007171,1024,32
Shutdown Kernel Exec Time,0.007164,1024,32
Total Exec Time,0.741326,1024,64
Memory Setup Time,0.467285,1024,64
Enqueue Exec Time,0.106499,1024,64
Add Kernel Exec Time,0.006142,1024,64
Shutdown Kernel Exec Time,0.010239,1024,64
Total Exec Time,0.437883,1024,128
Memory Setup Time,0.199111,1024,128
Enqueue Exec Time,0.09011,1024,128
Add Kernel Exec Time,0.006142,1024,128
Shutdown Kernel Exec Time,0.012284,1024,128
Total Exec Time,0.714841,1024,256
Memory Setup Time,0.169735,1024,256
Enqueue Exec Time,0.102402,1024,256
Add Kernel Exec Time,0.00615,1024,256
Shutdown Kernel Exec Time,0.018433,1024,256
Total Exec Time,0.482748,1024,512
Memory Setup Time,0.175265,1024,512
Enqueue Exec Time,0.129021,1024,512
Add Kernel Exec Time,0.006142,1024,512
Shutdown Kernel Exec Time,0.030716,1024,512
Total Exec Time,0.528597,1024,1024
Memory Setup Time,0.142172,1024,1024
Enqueue Exec Time,0.184318,1024,1024
Add Kernel Exec Time,0.007172,1024,1024
Shutdown Kernel Exec Time,0.054275,1024,1024
Total Exec Time,3.57468,1024,32
Memory Setup Time,0.489392,1024,32
Enqueue Exec Time,0.245761,1024,32
Add Kernel Exec Time,0.007168,1024,32
Shutdown Kernel Exec Time,0.007168,1024,32
Total Exec Time,0.594141,1024,64
Memory Setup Time,0.34885,1024,64
Enqueue Exec Time,0.083968,1024,64
Add Kernel Exec Time,0.006144,1024,64
Shutdown Kernel Exec Time,0.009216,1024,64
Total Exec Time,0.422036,1024,128
Memory Setup Time,0.190793,1024,128
Enqueue Exec Time,0.075777,1024,128
Add Kernel Exec Time,0.006145,1024,128
Shutdown Kernel Exec Time,0.011263,1024,128
Total Exec Time,0.631698,1024,256
Memory Setup Time,0.159931,1024,256
Enqueue Exec Time,0.09216,1024,256
Add Kernel Exec Time,0.007168,1024,256
Shutdown Kernel Exec Time,0.017408,1024,256
Total Exec Time,0.490701,1024,512
Memory Setup Time,0.184315,1024,512
Enqueue Exec Time,0.116735,1024,512
Add Kernel Exec Time,0.007167,1024,512
Shutdown Kernel Exec Time,0.031744,1024,512
Total Exec Time,0.560763,1024,1024
Memory Setup Time,0.157147,1024,1024
Enqueue Exec Time,0.168961,1024,1024
Add Kernel Exec Time,0.006144,1024,1024
Shutdown Kernel Exec Time,0.054271,1024,1024
Total Exec Time,3.39337,1024,32
Memory Setup Time,0.513816,1024,32
Enqueue Exec Time,0.258047,1024,32
Add Kernel Exec Time,0.007169,1024,32
Shutdown Kernel Exec Time,0.007168,1024,32
Total Exec Time,0.702165,1024,64
Memory Setup Time,0.443939,1024,64
Enqueue Exec Time,0.092159,1024,64
Add Kernel Exec Time,0.006144,1024,64
Shutdown Kernel Exec Time,0.009215,1024,64
Total Exec Time,0.460093,1024,128
Memory Setup Time,0.21436,1024,128
Enqueue Exec Time,0.084992,1024,128
Add Kernel Exec Time,0.006143,1024,128
Shutdown Kernel Exec Time,0.012288,1024,128
Total Exec Time,0.726578,1024,256
Memory Setup Time,0.18811,1024,256
Enqueue Exec Time,0.102401,1024,256
Add Kernel Exec Time,0.006144,1024,256
Shutdown Kernel Exec Time,0.017407,1024,256
Total Exec Time,0.529498,1024,512
Memory Setup Time,0.215824,1024,512
Enqueue Exec Time,0.121855,1024,512
Add Kernel Exec Time,0.006144,1024,512
Shutdown Kernel Exec Time,0.029696,1024,512
Total Exec Time,0.617364,1024,1024
Memory Setup Time,0.19352,1024,1024
Enqueue Exec Time,0.181247,1024,1024
Add Kernel Exec Time,0.006144,1024,1024
Shutdown Kernel Exec Time,0.054273,1024,1024
Total Exec Time,3.31983,1024,32
Memory Setup Time,0.52095,1024,32
Enqueue Exec Time,0.24576,1024,32
Add Kernel Exec Time,0.007168,1024,32
Shutdown Kernel Exec Time,0.008192,1024,32
Total Exec Time,0.536509,1024,64
Memory Setup Time,0.286531,1024,64
Enqueue Exec Time,0.086017,1024,64
Add Kernel Exec Time,0.007169,1024,64
Shutdown Kernel Exec Time,0.008192,1024,64
Total Exec Time,0.439003,1024,128
Memory Setup Time,0.199536,1024,128
Enqueue Exec Time,0.079871,1024,128
Add Kernel Exec Time,0.006143,1024,128
Shutdown Kernel Exec Time,0.012288,1024,128
Total Exec Time,0.66822,1024,256
Memory Setup Time,0.174436,1024,256
Enqueue Exec Time,0.102399,1024,256
Add Kernel Exec Time,0.006144,1024,256
Shutdown Kernel Exec Time,0.017409,1024,256
Total Exec Time,0.499364,1024,512
Memory Setup Time,0.18422,1024,512
Enqueue Exec Time,0.12288,1024,512
Add Kernel Exec Time,0.006144,1024,512
Shutdown Kernel Exec Time,0.029696,1024,512
Total Exec Time,0.577103,1024,1024
Memory Setup Time,0.166909,1024,1024
Enqueue Exec Time,0.176128,1024,1024
Add Kernel Exec Time,0.007169,1024,1024
Shutdown Kernel Exec Time,0.054273,1024,1024
Total Exec Time,3.1198,1024,32
Memory Setup Time,0.50684,1024,32
Enqueue Exec Time,0.239617,1024,32
Add Kernel Exec Time,0.007168,1024,32
Shutdown Kernel Exec Time,0.007167,1024,32
Total Exec Time,0.52412,1024,64
Memory Setup Time,0.279862,1024,64
Enqueue Exec Time,0.081921,1024,64
Add Kernel Exec Time,0.006144,1024,64
Shutdown Kernel Exec Time,0.01024,1024,64
Total Exec Time,0.444315,1024,128
Memory Setup Time,0.209306,1024,128
Enqueue Exec Time,0.076801,1024,128
Add Kernel Exec Time,0.007167,1024,128
Shutdown Kernel Exec Time,0.013313,1024,128
Total Exec Time,0.626081,1024,256
Memory Setup Time,0.165327,1024,256
